# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
     0.03%     0.03%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000d2649
     0.03%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __x64_sys_sched_yield
     0.03%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] do_sched_yield
     0.03%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_process_times
     0.03%     0.03%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079519
     0.03%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] exit_to_user_mode_loop
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000048e2e
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000793a9
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d437
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] asm_sysvec_reschedule_ipi
     0.02%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000b00000000
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d37a
     0.02%     0.02%  nbody3D_1_CLANG  libc.so.6              [.] __memset_evex_unaligned_erms
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000790f2
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d0f9
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] pick_next_task
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] scheduler_tick
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] irq_exit_rcu
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __irq_exit_rcu
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] sysvec_reschedule_ipi
     0.02%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000d00000000
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d589
     0.02%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000900000000
     0.02%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000e00000000
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] pick_next_task_fair
     0.02%     0.01%  nbody3D_1_CLANG  libc.so.6              [.] __vsnprintf_internal
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4ec
     0.02%     0.02%  nbody3D_1_CLANG  libc.so.6              [.] _int_free
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007944f
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d470
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000794ea
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000790f9
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d0fb
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007938c
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d38e
     0.02%     0.01%  nbody3D_1_CLANG  libc.so.6              [.] __strlen_evex
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __do_softirq
     0.02%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000f00000000
     0.02%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] i2c_dw_read
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079481
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d488
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007948b
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4d0
     0.02%     0.02%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000793a2
     0.02%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d3a4
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] __kmpc_for_static_init_8u
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079535
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d53a
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] task_tick_fair
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007958e
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d370
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079504
     0.01%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d50d
     0.01%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0xefefefefefefefef
     0.01%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000a00000000
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] __kmpc_reduce_nowait
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __irqentry_text_start
     0.01%     0.01%  nbody3D_1_CLANG  libc.so.6              [.] malloc
     0.01%     0.01%  nbody3D_1_CLANG  libc.so.6              [.] cfree@GLIBC_2.2.5
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_irq
     0.01%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_ev_sci_xrupt_handler
     0.01%     0.01%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079562
