# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] i2c_dw_xfer_msg
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079124
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d12d
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079574
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d579
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000d2642
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb76646
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] sched_clock_cpu
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] raw_spin_rq_lock_nested
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __get_user_8
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __rseq_handle_notify_resume
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rseq_ip_fixup
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] syscall_enter_from_user_mode
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05d10
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rcu_report_qs_rnp
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rcu_gp_kthread_wake
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] swake_up_one
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ttwu_do_activate
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] reweight_entity
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_cfs_group
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039565
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd567
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061e5d
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05e8f
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000001000
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061e46
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05e4a
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039695
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd696
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] restore_fpregs_from_fpstate
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] switch_fpu_return
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000790a1
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d0a8
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000004803a
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec03e
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000002006f
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfac4085
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] tick_do_update_jiffies64
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_wall_time
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] timekeeping_advance
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] timekeeping_update
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_blocked_averages
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003980c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd829
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060e64
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] free@plt
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] read_tsc
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000002800
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] 0x00000000000283e4
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] __mempcpy_evex_unaligned_erms
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000003fff
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003a029
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __perf_event_task_sched_out
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] clear_buddies
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000120
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000020064
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] malloc@plt
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] call_timer_fn
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000211
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061d95
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05d97
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039c81
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddc96
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] load_balance
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x00000000000037ff
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060cb1
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04cdd
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003fe1e
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae3e25
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039d7c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddd7e
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] enqueue_hrtimer
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] irq_work_tick
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003970e
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd711
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] error_return
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __irqentry_text_end
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] process_csb
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000480d6
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] asm_sysvec_irq_work
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd691
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] __memmove_evex_unaligned_erms
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x69746174735f726f
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] invoke_rcu_core
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __execlists_schedule_out
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] intel_engine_add_retire
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] queue_work_on
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000373f0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadb400
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003fe04
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae3e0b
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] gen11_irq_handler
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] advance_transaction
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] acpi_ec_gpe_handler
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003969c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd69e
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000433f8
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae7400
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] __pthread_clockjoin_ex
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000008000000008
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0xcb28e5a663be6000
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000044a31
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] start_thread
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb5084b
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae8a35
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] kmem_cache_alloc
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [k] 0x31302d653639302e
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] __GI___libc_write
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __x64_sys_write
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ksys_write
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] vfs_write
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ext4_file_write_iter
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ext4_buffered_write_iter
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] file_modified
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] file_modified_flags
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] generic_update_time
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __mark_inode_dirty
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ext4_dirty_inode
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __ext4_journal_start_sb
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] jbd2__journal_start
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039842
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000048df4
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaecdf7
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0xc1f926a43c8f3217
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d44c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007944c
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] _raw_spin_lock_irq
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007951b
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb4fcb0
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] madvise_walk_vmas
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] __madvise
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __x64_sys_madvise
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] do_madvise.part.0
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0xc18290cb409f8c62
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] _raw_spin_unlock
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003fda5
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae3da7
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __default_send_IPI_dest_field
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] ttwu_do_wakeup
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] check_preempt_curr
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] check_preempt_wakeup
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] resched_curr
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] native_smp_send_reschedule
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] default_send_IPI_single
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] flat_send_IPI_mask
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] native_sched_clock
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039cc2
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddcc9
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadddbc
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0xc264f4883f675cfc
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000790fe
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d103
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] pvclock_gtod_notify
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060d05
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04d0c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000405a9
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae45ab
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadb410
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061d85
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05d86
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000078fcc
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1cfce
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000004807b
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec07e
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000397e8
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd802
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] put_prev_entity
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __rcu_read_unlock
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] timerqueue_add
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039c19
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05d90
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0xc2c48c553cd5a4a1
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061d88
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] available_idle_cpu
     0.00%     0.00%  nbody3D_1_CLANG  nbody3D_1_CLANG_Ofast  [.] __kmpc_reduce_nowait@plt
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039c2d
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddc31
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039764
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd76b
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000405ae
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000020122
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfac4125
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039baa
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddbb1
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003741f
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadb421
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003989c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd8ee
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039ea6
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddead
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060d47
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04d49
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] br_hello_timer_expired
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] perf_event_context_sched_out
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039911
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddadc
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000480d1
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec0d3
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039c3d
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddc41
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __update_blocked_fair
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000397bd
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd7df
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_dl_rq_load_avg
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] 0x00007f10bf8283e0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060cf2
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04cfa
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039bbb
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddbd4
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039902
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd90a
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000002019c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfac419f
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04d17
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039cf7
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddcfe
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000001800
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000794f3
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4f5
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003968a
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061df0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05e33
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] psi_task_change
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] enqueue_task
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000048086
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec08c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003986c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd873
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003fe5f
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfae3e8b
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039c7c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaddc7f
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] hrtimer_active
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] idle_cpu
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061d14
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05d17
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000373c4
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadb3cb
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] account_user_time
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000373dc
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadb3de
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] _find_first_bit
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060c05
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04c07
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000021133
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000002014d
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] error_entry
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060e71
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000201a6
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000480a0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfac41a8
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec0b2
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] group_balance_cpu
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000061db0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb05de8
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000002015a
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000131
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] find_busiest_queue
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000048046
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec049
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] x86_pmu_disable
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039583
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd586
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000003000
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04e40
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060e47
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04e61
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] delayed_work_timer_fn
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] raw_notifier_call_chain
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039760
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd764
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060d4a
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] _raw_spin_trylock
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_min_vruntime
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] sysvec_irq_work
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __sysvec_irq_work
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] irq_work_run
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] irq_work_run_list
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] irq_work_single
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] signal_irq_work
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] node_retire
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] active_retire
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __active_retire
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000004808c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec091
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000397ad
