# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 95286242180
#
# Children      Self  Command          Shared Object        Symbol                                
# ........  ........  ...............  ...................  ......................................
#
    98.42%    98.34%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.1
            |          
             --98.41%--move_particles._omp_fn.1

     1.18%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0000000000000000
            |
            ---0
               |          
                --0.91%--0x7ff13bcfa7ba

     0.91%     0.91%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207b8
            |
            ---0
               0x7ff13bcfa7ba

     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] account_process_tick
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] account_user_time
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dff7
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf0ea0
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dcd4
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7cd6
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001ddc0
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7dc4
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] group_balance_cpu
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] reweight_entity
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] update_cfs_group
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] timerqueue_add
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] cache_from_obj
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_do_batch
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] mt_free_rcu
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] kmem_cache_free
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001f29d
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf92a2
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000014825
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc3622394c127ff64
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcee850
     0.00%     0.00%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] 0x00000000000011e4
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000002091f
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa921
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001f3bd
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa6b0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] raw_spin_rq_unlock
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] calc_global_load
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000000a6b4
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] error_return
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000016f2a
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf0f2f
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] _raw_spin_unlock
     0.00%     0.00%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] 0x0000000000001194
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dc92
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bce78d0
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dfd9
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7fe0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] update_curr
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dd47
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7d4e
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] load_balance
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001de7a
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7e81
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001df72
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7f7b
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020768
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa76a
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] call_timer_fn
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] delayed_work_timer_fn
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __queue_work
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] _find_next_bit
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001e3a7
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf83a8
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001df66
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7f6d
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __remove_hrtimer
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000016f00
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7ffc
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000016f3e
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf927a
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001de55
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7e58
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __raw_spin_lock_irqsave
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] _raw_spin_lock_irqsave
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dfe0
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7fe9
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] arch_scale_freq_tick
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] native_read_msr
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dca3
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7ca6
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020862
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa865
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] free_pcppages_bulk
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pgd_free
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] free_pages
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __free_pages
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] free_unref_page
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] free_unref_page_commit
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] timerfd_tmrproc
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __wake_up_locked_key
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __wake_up_common
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ep_poll_callback
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __wake_up
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __wake_up_common_lock
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ep_autoremove_wake_function
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] default_wake_function
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000147f3
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcee7f9
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] note_gp_changes
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001e3b1
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_report_qs_rnp
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_gp_kthread_wake
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] swake_up_one
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc3615eebc19e1cb5
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001de66
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7e6d
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000147e7
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcee7e8
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dec6
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7ecd
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001dc5e
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7c65
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_accelerate_cbs
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_start_this_gp
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0x0000000000000021
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] wake_up_q
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __hrtimer_next_event_base
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001deb2
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7eb7
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bce78e9
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pcpu_block_update_hint_free
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] percpu_counter_destroy
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] free_percpu
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] free_percpu.part.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pcpu_free_area
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pcpu_block_update
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000205c9
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa5cd
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rseq_get_rseq_cs.isra.0
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __update_blocked_fair
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] update_blocked_averages
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ktime_get
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001df4c
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7f54
     0.00%     0.00%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] 0x00000000000011d4
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001df54
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7f5b
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] acpi_hw_register_read
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] acpi_ev_fixed_event_detect
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] prepare_task_switch
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __perf_event_task_sched_out
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rwsem_spin_on_owner
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] advance_transaction
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] acpi_ec_gpe_handler
     0.00%     0.00%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] 0x00005644b5bd3150
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] wake_up_bit
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] handle_edge_irq
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] vmd_irq
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] generic_handle_irq
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] handle_irq_desc
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] handle_untracked_irq
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] nvme_irq
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] nvme_pci_complete_batch
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] blk_mq_end_request_batch
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] bio_endio
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] end_bio_bh_io_sync
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] end_buffer_async_write
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __irqentry_text_end
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pick_next_task_fair
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] put_prev_entity
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] handle_mm_fault
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] handle_pte_fault
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __handle_mm_fault
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __update_idle_core
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] lock_mm_and_find_vma
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] down_read_killable
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rwsem_down_read_slowpath
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] schedule_preempt_disabled
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pick_next_task_idle
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ret_from_fork
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __get_user_8
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] get_page_from_freelist
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_anonymous_page
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] vma_alloc_folio
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __folio_alloc
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __alloc_pages
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] schedule_tail
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] mem_cgroup_handle_over_high
     0.00%     0.00%  perf-exec        [unknown]            [k] 0x00007fdde7ceb08b
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] do_syscall_64
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] __x64_sys_execve
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] ctx_resched
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] do_execveat_common.isra.0
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] bprm_execve
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] bprm_execve.part.0
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] exec_binprm
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] search_binary_handler
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] load_elf_binary
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] begin_new_exec
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] perf_event_exec
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] perf_event_enable_on_exec
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __perf_event_task_sched_in
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] perf_ctx_enable
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] nmi_restore
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] native_sched_clock
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] irqentry_nmi_exit
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] native_write_msr
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] perf_ctx_enable
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] x86_pmu_enable
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] intel_pmu_enable_all
     0.00%     0.00%  perf-exec        [kernel.kallsyms]    [k] native_sched_clock
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] perf_event_nmi_handler


#
# (Cannot load tips.txt file, please install perf!)
#
