# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 95286242180
#
# Children      Self  Command          Shared Object        Symbol                                
# ........  ........  ...............  ...................  ......................................
#
    98.42%    98.34%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.1
            |          
             --98.41%--move_particles._omp_fn.1

     1.18%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0000000000000000
            |
            ---0
               |          
                --0.91%--0x7ff13bcfa7ba

     0.91%     0.91%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207b8
            |
            ---0
               0x7ff13bcfa7ba

     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] irq_exit_rcu
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __irq_exit_rcu
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __do_softirq
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] acpi_ev_gpe_detect
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] acpi_ev_detect_gpe
     0.01%     0.01%  nbody3D_1_GCC_O  libc.so.6            [.] unlink_chunk.constprop.0
     0.01%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] acpi_os_read_port
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] acpi_hw_gpe_read
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.01%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0x0000000000000631
     0.01%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0x0000000000000635
     0.01%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0x0000000000000055
     0.01%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0x0000000000000025
     0.01%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] syscall_enter_from_user_mode
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] update_load_avg
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] asm_sysvec_reschedule_ipi
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __vm_munmap
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] schedule
     0.01%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0x0000000000000001
     0.01%     0.01%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] _raw_spin_lock
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] task_tick_fair
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __schedule
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] ttwu_do_activate
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] try_to_wake_up
     0.01%     0.00%  nbody3D_1_GCC_O  libc.so.6            [.] __munmap
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __x64_sys_munmap
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] down_write_killable
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rwsem_down_write_slowpath
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rwsem_optimistic_spin
     0.01%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] GOMP_atomic_end
     0.01%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] native_write_msr
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] amd_clear_divider
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000002091a
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa91f
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] wake_up_process
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_core
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] entry_SYSCALL_64_safe_stack
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] enqueue_task
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] tick_program_event
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __update_load_avg_se
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] sysvec_reschedule_ipi
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] osq_lock
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] sync_regs
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc362ef9ac0d8eec4
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] clockevents_program_event
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc361b8cfc1635ade
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] rcu_core_si
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] perf_event_task_tick
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_mas_munmap
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc3619478c1807f62
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] tick_sched_do_timer
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] native_irq_return_iret
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] hrtimer_wakeup
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] run_rebalance_domains
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] enqueue_task_fair
     0.00%     0.00%  nbody3D_1_GCC_O  [unknown]            [.] 0xc361e6f9c145b106
